element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ni	1	"231.366"	""	""	""	"1400"	""		""	""	""	""	""	""	""	""				""	"L3475"	
Ar	2	"231.37191"	"0.00001"	"231.371923"	"0.000003"	"1047"	""		"19.549011775"	"24.90601840"	"3s2.3p4.(3P).4p"	"4D*"	"5/2"	"3s2.3p4.(3P).5d"	"4F"	"7/2"	6	8		""	"L11520"	
Al	2	"231.3768"	""	"231.3768"	""	"100"	""		"13.076729"	"18.43362"	"3s.4p"	"3P*"	"2"	"3s.13s"	"3S"	"1"	5	3		""	"L4575"	
Cr	2	"231.3803"	"0.0004"	"231.380263"	"0.000007"	"3"	""		"2.70579643"	"8.06260997"	"3d5"	"a 4P"	"1/2"	"3d4.(a 3P).4p"	"z 2S*"	"1/2"	2	2		""	"L18847"	
Hg	1	"231.388"	"0.003"	"231.3918"	"0.0011"	""	""		"4.8864946"	"10.243041"	"5d10.6s.6p"	"3P*"	"1"	"5d10.6s.13s"	"1S"	"0"	3	1		""	"L7591"	
Fe	2	"231.39403"	"0.00003"	"231.394039"	"0.000010"	"4000"	"1.05e+08"	C+	"7.5617273"	"12.9182220"	"3d6.(3H).4p"	"z 4H*"	"9/2"	"3d6.(3H).4d"	"4I"	"9/2"	10	10		"T6892c83"	"L18349c139"	
Fe	2	"231.39746"	"0.00010"	"231.397328"	"0.000010"	"4000"	"3.1e+06"	D+	"2.82812245"	"8.1845410"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3G).4p"	"x 4F*"	"9/2"	8	10		"T6892c83"	"L18349c139"	
Ni	1	"231.398"	""	"231.39827"	""	"1400"	"5.0e+08"	E	"0.2748172"	"5.6312140"	"3d8.(3F).4s2"	"3F"	"2"	"3d8.(3F).4s.4p.(1P*)"	"3F*"	"2"	5	5		"T3861"	"L3475"	
Fe	2	"231.40563"	"0.00005"	"231.405620"	"0.000010"	"7000"	"2.2e+07"	D+	"5.55260578"	"10.9088324"	"3d6.(5D).4p"	"z 4D*"	"5/2"	"3d6.(5D).4d"	"4P"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Ti	1	"231.4292"	"0.0002"	"231.429193"	"0.000022"	"6"	""		"0.04796626"	"5.4036473"	"3d2.4s2"	"a 3F"	"4"	"3d2.4s.(4F).5p"	"r 3F*"	"3"	9	7		""	"L10989"	
Fe	2	"231.45426"	"0.00007"	"231.454299"	"0.000012"	"1400"	"1.7e+07"	D+	"7.7025932"	"13.0576934"	"3d6.(3P2).4p"	"z 2D*"	"3/2"	"3d6.(3P2).4d"	"2P"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Fe	2	"231.46134"	"0.00004"	"231.461336"	"0.000011"	"2400"	"2.3e+07"	D+	"7.6530572"	"13.0079946"	"3d6.(3P2).4p"	"y 4D*"	"7/2"	"3d6.(3F2).4d"	"4F"	"9/2"	8	10		"T6892c83"	"L18349c139"	
Cr	2	"231.46472"	"0.00010"	"231.464771"	"0.000016"	"7"	""		"8.21475184"	"13.5696098"	"3d4.(a 3P).4p"	"y 4P*"	"1/2"	"3d4.(a 3F).5d"	"4P"	"3/2"	2	4		""	"L18847"	
Cr	2	"231.472179"	"0.000007"	"231.472183"	"0.000007"	"150"	""		"2.54388199"	"7.89856848"	"3d5"	"a 4G"	"7/2"	"3d4.(3H).4p"	"z 4H*"	"9/2"	8	10		""	"L18847"	
Ti	2	"231.479"	""	"231.479522"	"0.000011"	"3:"	""		"1.18010040"	"6.53461713"	"3d3"	"a 4P"	"5/2"	"3d.(2D).4s.4p.(3P*)"	"4F*"	"7/2"	6	8		""	"L5432"	
Cr	2	"231.48010"	"0.00003"	"231.480102"	"0.000007"	"18"	""		"2.54406517"	"7.89856848"	"3d5"	"a 4G"	"9/2"	"3d4.(3H).4p"	"z 4H*"	"9/2"	10	10		""	"L18847"	
Fe	2	"231.4875"	"0.0005"	"231.486748"	"0.000022"	"500d?"	"2.1e+07"	D+	"6.2169162"	"11.5712658"	"3d6.(3F1).4s"	"c 4F"	"5/2"	"3d6.(3F1).4p"	"u 4F*"	"3/2"	6	4		"T6892c83"	"L18349c143"	
Ar	2	"231.49707"	"0.00001"	"231.497068"	"0.000003"	"398"	""		"19.61030789"	"24.96441882"	"3s2.3p4.(3P).4p"	"4D*"	"3/2"	"3s2.3p4.(3P).5d"	"4F"	"5/2"	4	6		""	"L11520"	
Al	1	"231.4983"	""	"231.4984"	""	"4"	""		"3.603844"	"8.957924"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4P*"	"3/2"	4	4		""	"L4737"	
Ne	2	"231.5095"	"0.0010"	"231.5098"	"0.0004"	"12"	""		"34.83826076"	"40.192078"	"2s2.2p4.(3P).3d"	"4P"	"3/2"	"2s2.2p4.(3P<1>).8f"	"2[3]*"	"5/2"	4	6		""	"L1406"	
Hg	1	"231.521"	"0.003"	"231.5249"	"0.0010"	""	""		"4.8864946"	"10.239962"	"5d10.6s.6p"	"3P*"	"1"	"5d10.6s.13s"	"3S"	"1"	3	3		""	"L7591"	
Ar	2	"231.53098"	"0.00001"	"231.530979"	"0.000003"	"58"	""		"19.61030789"	"24.96363470"	"3s2.3p4.(3P).4p"	"4D*"	"3/2"	"3s2.3p4.(3P).5d"	"4P"	"3/2"	4	4		""	"L11520"	
Fe	2	"231.54808"	"0.00004"	"231.548075"	"0.000012"	"3200"	"1.1e+07"	D+	"7.6042922"	"12.9572238"	"3d6.(3P2).4p"	"y 4P*"	"3/2"	"3d6.(3H).4d"	"4F"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"231.553529"	"0.000015"	"231.553535"	"0.000011"	"8000"	"6.6e+07"	D+	"7.6951447"	"13.0479501"	"3d6.(3F2).4p"	"y 4F*"	"7/2"	"3d6.(3P2).4d"	"2D"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Fe	2	"231.5616"	"0.0002"	"231.561468"	"0.000016"	"400"	""		"7.8686738"	"13.2212958"	"3d6.(3F2).4p"	"x 4D*"	"3/2"	"3d5.4s.(7S).4d"	"6D"	"1/2"	4	2		""	"L18349c139"	
Na	2	"231.5647"	"0.0003"	"231.5648"	"0.0008"	"300"	"1.05e+07"	C+	"32.941315"	"38.293859"	"2s2.2p5.3s"	"3P*"	"1"	"2s2.2p5.3p"	"1S"	"0"	3	1		"c49,T6036"	"L914"	
Mn	2	"231.566"	"0.0015"	"231.56521"	"0.00021"	"10"	""		"5.347626"	"10.700161"	"3d6"	"a 1D"	"2"	"3d5.(4F).4p"	"v 3D*"	"3"	5	7		""	"L562"	
Cu	2	"231.5681"	"0.0005"	"231.56826"	"0.00004"	"17000"	""		"10.5868585"	"15.9393235"	"3d8.4s2"	"1D"	"2"	"3d8.(1D).4s.4p.(3P*)"	"3F*"	"3"	5	7		""	"L869c171"	
Fe	2	"231.572926"	"0.000013"	"231.572932"	"0.000012"	"12000"	"2.4e+08"	C+	"7.7173363"	"13.0696934"	"3d6.(3F2).4p"	"y 4F*"	"3/2"	"3d6.(3F2).4d"	"4G"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"231.57803"	"0.00005"	"231.578045"	"0.000011"	"1800"	"4.6e+07"	D+	"7.6951447"	"13.0473836"	"3d6.(3F2).4p"	"y 4F*"	"7/2"	"3d6.(3P2).4d"	"4P"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Ne	2	"231.5816"	"0.0010"	"231.5817"	"0.0006"	"22"	""		"34.83826076"	"40.190415"	"2s2.2p4.(3P).3d"	"4P"	"3/2"	"2s2.2p4.(3P<1>).8f"	"2[2]*"	"5/2"	4	6		""	"L1406"	
Fe	2	"231.58248"	"0.00007"	"231.582519"	"0.000012"	"1500"	"5.1e+07"	D+	"7.5682105"	"12.9203460"	"3d6.(3H).4p"	"z 4G*"	"5/2"	"3d6.(3H).4d"	"2F"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Fe	2	"231.5858"	"0.0005"	"231.585368"	"0.000012"	"230d?"	""		"7.8686738"	"13.2207434"	"3d6.(3F2).4p"	"x 4D*"	"3/2"	"3d5.4s.(7S).4d"	"6D"	"3/2"	4	4		""	"L18349c143"	
Fe	2	"231.59339"	"0.00012"	"231.593454"	"0.000011"	"800"	"2.9e+07"	D+	"7.7058106"	"13.0576934"	"3d6.(3F2).4p"	"y 4F*"	"5/2"	"3d6.(3P2).4d"	"2P"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Ni	2	"231.604"	""	"231.6036"	""	"1000"	"2.88e+08"	B	"1.040711"	"6.392359"	"3p6.3d8.(3F).4s"	"4F"	"9/2"	"3p6.3d8.(3F).4p"	"4D*"	"7/2"	10	8		"T1024n"	"L897"	
Fe	2	"231.60628"	"0.00011"	"231.606241"	"0.000011"	"1000"	"9.e+06"	D+	"7.5576776"	"12.9092650"	"3d6.(3H).4p"	"z 4G*"	"7/2"	"3d6.(5D).5d"	"6P"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Fe	2	"231.60901"	"0.00009"	"231.608967"	"0.000012"	"1100"	"7.6e+06"	D+	"7.7025932"	"13.0541176"	"3d6.(3P2).4p"	"z 2D*"	"3/2"	"3d6.(5D).5d"	"6G"	"3/2"	4	4		"T6892c83"	"L18349c139"	
O	2	"231.6139"	""	"231.6124"	""	"9"	""		"26.358274"	"31.7097189"	"2s.2p4"	"2P"	"3/2"	"2s2.2p2.(3P).4f G"	"2[3]*"	"5/2"	4	6		""	"L10621"	
Mn	2	"231.616"	"0.0015"	"231.61518"	"0.00016"	"5"	""		"3.419929"	"8.7713101"	"3d5.(4G).4s"	"a 5G"	"4"	"3d5.(4P).4p"	"z 3D*"	"3"	9	7		""	"L562"	
Ar	2	"231.62973"	"0.00001"	"231.629726"	"0.000003"	"1820"	""		"19.49453389"	"24.845578706"	"3s2.3p4.(3P).4p"	"4D*"	"7/2"	"3s2.3p4.(3P).5d"	"4F"	"9/2"	8	10		""	"L11520"	
N	2	"231.649"	""	"231.6489"	""	"220"	"1.75e+07"	C+	"20.653592"	"26.004194"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.4d"	"3F*"	"3"	5	7		"T5520LS"	"L3513"	
Fe	2	"231.65122"	"0.00003"	"231.651225"	"0.000011"	"4000"	"7.7e+07"	C+	"7.6951447"	"13.0456930"	"3d6.(3F2).4p"	"y 4F*"	"7/2"	"3d6.(3H).4d"	"4F"	"7/2"	8	8		"T6892c83"	"L18349c139"	
N	2	"231.669"	""	"231.6680"	""	"160"	"1.65e+07"	C+	"20.646058"	"25.996219"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.4d"	"3F*"	"2"	3	5		"T5520LS"	"L3513"	
Fe	2	"231.67251"	"0.00019"	"231.672292"	"0.000011"	"500"	"3.9e+06"	D+	"7.5576776"	"12.9077394"	"3d6.(3H).4p"	"z 4G*"	"7/2"	"3d6.(3P2).4d"	"4F"	"7/2"	8	8		"T6892c83"	"L18349c139"	
O	2	"231.6765"	""	"231.6779"	""	"9*"	""		"26.379157"	"31.729090"	"2s.2p4"	"2P"	"1/2"	"2s2.2p2.(3P).4f D"	"2[1]*"	"1/2"	2	2		""	"L10621"	
O	2	"231.6765"	""	"231.6781"	""	"9*"	""		"26.379157"	"31.729084"	"2s.2p4"	"2P"	"1/2"	"2s2.2p2.(3P).4f D"	"2[1]*"	"3/2"	2	4		""	"L10621"	
Fe	2	"231.691134"	"0.000017"	"231.691140"	"0.000011"	"8000"	"1.1e+08"	D+	"7.5682105"	"12.9178370"	"3d6.(3H).4p"	"z 4G*"	"5/2"	"3d6.(3H).4d"	"4F"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Fe	2	"231.70032"	"0.00010"	"231.700549"	"0.000011"	"1100"	"2.4e+07"	D+	"7.5165973"	"12.8660067"	"3d6.(3H).4p"	"z 4G*"	"11/2"	"3d6.(3H).4d"	"4G"	"9/2"	12	10		"T6892c83"	"L18349c139"	
Fe	2	"231.70238"	"0.00002"	"231.702401"	"0.000011"	"4000"	"1.8e+07"	D+	"7.6951447"	"13.0445113"	"3d6.(3F2).4p"	"y 4F*"	"7/2"	"3d6.(5D).5d"	"4G"	"9/2"	8	10		"T6892c83"	"L18349c139"	
N	2	"231.705"	""	"231.7039"	""	"285"	"1.97e+07"	C+	"20.665518"	"26.014849"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.4d"	"3F*"	"4"	7	9		"T5520LS"	"L3513"	
Fe	2	"231.70604"	"0.00006"	"231.706035"	"0.000012"	"6000"	"6.5e+07"	D+	"5.58476799"	"10.9340507"	"3d6.(5D).4p"	"z 4D*"	"3/2"	"3d6.(5D).4d"	"4P"	"1/2"	4	2		"T6892c83"	"L18349c139"	
Ne	2	"231.7064"	"0.0010"	"231.7061"	"0.0005"	"40"	""		"34.84277499"	"40.192056"	"2s2.2p4.(3P).3d"	"2F"	"5/2"	"2s2.2p4.(3P<1>).8f"	"2[3]*"	"7/2"	6	8		""	"L1406"	
Ni	1	"231.716"	""	"231.71645"	""	"1400"	"3.8e+08"	C	"0.1651673"	"5.5142095"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(3F).4s.4p.(1P*)"	"3D*"	"2"	7	5		"T3861"	"L3475"	
Fe	2	"231.71900"	"0.00015"	"231.719041"	"0.000011"	"600"	"3.6e+06"	D+	"7.6530572"	"13.0020396"	"3d6.(3P2).4p"	"y 4D*"	"7/2"	"3d6.(5D).5d"	"6G"	"9/2"	8	10		"T6892c83"	"L18349c139"	
Fe	2	"231.735121"	"0.000012"	"231.735119"	"0.000011"	"14000"	"2.34e+08"	B+	"7.7058106"	"13.0544220"	"3d6.(3F2).4p"	"y 4F*"	"5/2"	"3d6.(3F2).4d"	"4G"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Fe	2	"231.738036"	"0.000019"	"231.738016"	"0.000011"	"14000bl(Fe II)*"	"3.1e+06"	D	"2.84411707"	"8.1926616"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3G).4p"	"x 4G*"	"5/2"	6	6		"T6892c83"	"L18349c148"	
Fe	2	"231.738036"	"0.000019"	"231.738058"	"0.000012"	"14000bl(Fe II)*"	"9.e+06"	D+	"7.3973238"	"12.7458673"	"3d6.(3P2).4p"	"z 4S*"	"3/2"	"3d6.(5D).6s"	"4D"	"5/2"	4	6		"T6892c83"	"L18349c148"	
Fe	2	"231.7452"	"0.0005"	"231.745692"	"0.000011"	"200d?"	""		"7.6973256"	"13.0456930"	"3d6.(3H).4p"	"z 2G*"	"9/2"	"3d6.(3H).4d"	"4F"	"7/2"	10	8		""	"L18349c142"	
Al	1	"231.7482"	""	"231.7481"	""	"7"	""		"3.603844"	"8.952155"	"3s.3p2"	"4P"	"3/2"	"3s.3p.(3P*).3d"	"4P*"	"5/2"	4	6		""	"L4737"	
Fe	2	"231.75956"	"0.00002"	"231.759565"	"0.000012"	"5000"	"5.1e+07"	D+	"7.7173363"	"13.0653835"	"3d6.(3F2).4p"	"y 4F*"	"3/2"	"3d6.(3F2).4d"	"4D"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"231.7669"	"0.0005"	"231.766403"	"0.000016"	"600"	""		"3.88869686"	"9.2365863"	"3d6.(3D).4s"	"b 4D"	"3/2"	"3d6.(3D).4p"	"x 2D*"	"3/2"	4	4		""	"L18349c142"	
Ar	2	"231.77460"	"0.00001"	"231.774598"	"0.000004"	"191"	"1.4e+07"	C	"18.454114013"	"23.80181442"	"3s2.3p4.(1D).4s"	"2D"	"5/2"	"3s2.3p4.(1S).4p"	"2P*"	"3/2"	6	4		"T926"	"L11520"	
Fe	1	"231.78978"	"0.00008"	"231.789811"	"0.000012"	"71"	""		"1.60789577"	"6.95524523"	"3d7.(4F).4s"	"a 3F"	"2"	"3d6.(3G).4s.4p.(3P*)"	"1F*"	"3"	5	7		""	"L11631"	
Fe	2	"231.7945"	"0.0005"	"231.793890"	"0.000012"	"800d?"	""		"7.8686738"	"13.2159291"	"3d6.(3F2).4p"	"x 4D*"	"3/2"	"3d5.4s.(7S).5s"	"6S"	"5/2"	4	6		""	"L18349c143"	
Fe	2	"231.79650"	"0.00012"	"231.796365"	"0.000011"	"2700"	"2.2e+06"	D	"5.24885175"	"10.5960500"	"3d6.(5D).4p"	"z 6F*"	"5/2"	"3d6.(5D).4d"	"e 4G"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Fe	2	"231.81505"	"0.00003"	"231.815016"	"0.000016"	"12000"	"6.4e+07"	D+	"6.0877427"	"11.4345108"	"3d6.(3P1).4s"	"c 4P"	"1/2"	"3d6.(5D).5p"	"4P*"	"3/2"	2	4		"T6892c83"	"L18349c139"	
Fe	1	"231.81867"	"0.00008"	"231.818601"	"0.000008"	"50"	""		"0.85899575"	"6.20568115"	"3d7.(4F).4s"	"a 5F"	"5"	"3d6.(5D).4s (6D).5p"	"n 7F*"	"5"	11	11		""	"L11631"	
Mn	2	"231.828"	"0.0015"	"231.82718"	"0.00011"	"5"	""		"4.9362771"	"10.282765"	"3d5.(4D).4s"	"b 3D"	"2"	"3d5.(a 2F).4p"	"w 3F*"	"3"	5	7		""	"L562"	
Fe	2	"231.83184"	"0.00002"	"231.831838"	"0.000012"	"4000"	"7.0e+07"	D+	"7.9704921"	"13.3168722"	"3d6.(3F2).4p"	"z 2F*"	"7/2"	"3d6.(3F2).4d"	"2D"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Fe	2	"231.83430"	"0.00005"	"231.834268"	"0.000011"	"6000"	"5.6e+06"	D+	"2.82812245"	"8.1744466"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3G).4p"	"x 4G*"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	2	"231.8427"	"0.0005"	"231.842323"	"0.000016"	"500bl(Fe II)*"	"1.9e+06"	D	"4.47910423"	"9.8252426"	"3d6.(3D).4s"	"b 2D"	"3/2"	"3d5.(6S).4s.4p.(1P*)"	"x 6P*"	"3/2"	4	4		"T6370,T6892c83"	"L18349c142"	
Fe	2	"231.8427"	"0.0005"	"231.842990"	"0.000011"	"500bl(Fe II)*"	""		"7.7082990"	"13.0544220"	"3d5.(6S).4s.4p.(3P*)"	"y 6P*"	"7/2"	"3d6.(3F2).4d"	"4G"	"7/2"	8	8		""	"L18349c142"	
Ne	2	"231.8465"	"0.0010"	"231.8467"	"0.0003"	"40"	""		"34.61869947"	"39.964738"	"2s2.2p4.(3P).3d"	"4D"	"5/2"	"2s2.2p4.(3P<0>).7f"	"2[3]*"	"7/2"	6	8		""	"L1406"	
Fe	2	"231.85367"	"0.00003"	"231.853659"	"0.000016"	"13000"	"8.e+06"	D+	"2.64185518"	"7.9877322"	"3d7"	"a 2D2"	"3/2"	"3d6.(3F2).4p"	"z 2F*"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Ar	2	"231.854"	"0.004"	"231.853815"	"0.000004"	"0bl?"	""		"20.272226904"	"25.61810033"	"3s2.3p4.(1D).3d"	"2F"	"7/2"	"3s2.3p4.(3P<0>).5f"	"2[3]*"	"7/2"	8	8		""	"L14821"	
Fe	2	"231.8556"	""	"231.855573"	"0.000011"	":"	"2.8e+06"	D	"4.47910423"	"9.8249371"	"3d6.(3D).4s"	"b 2D"	"3/2"	"3d6.(1D2).4p"	"w 2P*"	"3/2"	4	4		"T6370,T6892c83"	"L7770"	
Cr	2	"231.85960"	"0.00009"	"231.859625"	"0.000011"	"6"	""		"8.27306662"	"13.61880610"	"3d4.(a 3P).4p"	"y 4P*"	"5/2"	"3d4.(3G).4d"	"4F"	"7/2"	6	8		""	"L18847"	
Fe	2	"231.86014"	"0.00012"	"231.860080"	"0.000011"	"1000"	"1.9e+07"	D+	"7.5746170"	"12.9203460"	"3d6.(3P2).4p"	"z 2D*"	"5/2"	"3d6.(3H).4d"	"2F"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Fe	2	"231.8643"	"0.0005"	"231.864259"	"0.000022"	"500"	"2.6e+06"	D	"6.0877427"	"11.4333753"	"3d6.(3P1).4s"	"c 4P"	"1/2"	"3d6.(3P1).4p"	"u 2D*"	"3/2"	2	4		"T6892c83"	"L18349c142"	
Na	2	"231.8687"	"0.0003"	""	""	"7"	""		""	""	""	""	""	""	""	""				""	"L914"	
Fe	2	"231.8700"	"0.0002"	"231.869836"	"0.000011"	"700"	"1.7e+07"	D+	"7.5391368"	"12.8846409"	"3d6.(3H).4p"	"z 4G*"	"9/2"	"3d6.(3H).4d"	"4G"	"7/2"	10	8		"T6892c83"	"L18349c139"	
Cr	2	"231.87661"	"0.00006"	"231.876573"	"0.000010"	"10"	""		"4.04230010"	"9.38764889"	"3d5"	"a 2F"	"5/2"	"3d4.(a 1G).4p"	"w 2G*"	"7/2"	6	8		""	"L18847"	
Ti	2	"231.878"	""	"231.878811"	"0.000013"	"0:"	""		"1.18010040"	"6.52539759"	"3d3"	"a 4P"	"5/2"	"3d.(2D).4s.4p.(3P*)"	"4D*"	"5/2"	6	6		""	"L5432"	
Mn	2	"231.891"	"0.0015"	"231.89169"	"0.00022"	"30"	""		"3.415425"	"8.7604253"	"3d5.(4G).4s"	"a 5G"	"6"	"3d5.(4D).4p"	"y 5F*"	"5"	13	11		""	"L562"	
Fe	2	"231.90076"	"0.00008"	"231.900713"	"0.000016"	"1200bl(Fe II)*"	"1.9e+06"	D	"8.1452725"	"13.4900649"	"3d6.(3G).4p"	"x 4G*"	"9/2"	"3d6.(3D).5s"	"4D"	"7/2"	10	8		"T6892c83"	"L18349c148"	
Fe	2	"231.90076"	"0.00008"	"231.900799"	"0.000012"	"1200bl(Fe II)*"	"4.4e+07"	D+	"7.7025932"	"13.0473836"	"3d6.(3P2).4p"	"z 2D*"	"3/2"	"3d6.(3P2).4d"	"4P"	"5/2"	4	6		"T6892c83"	"L18349c148"	
S	2	"231.9048"	"0.0009"	"231.9048"	"0.0009"	"83"	""		"16.197439"	"21.54214"	"3s2.3p2.(3P).4p"	"2D*"	"3/2"	"3s2.3p2.(3P).7s"	"2P"	"1/2"	4	2		""	"L5883"	
Al	1	"231.9057"	""	"231.9056"	""	"5"	""		"3.613244"	"8.957924"	"3s.3p2"	"4P"	"5/2"	"3s.3p.(3P*).3d"	"4P*"	"3/2"	6	4		""	"L4737"	
Fe	2	"231.92200"	"0.00013"	"231.922078"	"0.000011"	"800"	"3.2e+06"	D	"7.7025932"	"13.0468933"	"3d6.(3P2).4p"	"z 2D*"	"3/2"	"3d6.(5D).5d"	"4D"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Cr	2	"231.93029"	"0.00006"	"231.930344"	"0.000011"	"13"	""		"8.22694136"	"13.57105099"	"3d4.(a 3P).4p"	"y 4P*"	"3/2"	"3d4.(a 3F).5d"	"4P"	"5/2"	4	6		""	"L18847"	
Mn	2	"231.933"	"0.0015"	"231.93213"	"0.00022"	"8"	""		"5.108692"	"10.452761"	"3d5.(2I).4s"	"a 3I"	"5"	"3d5.(a 2G).4p"	"x 3H*"	"4"	11	9		""	"L562"	
Cr	2	"231.936774"	"0.000007"	"231.936771"	"0.000007"	"240"	""		"2.70564569"	"8.04960724"	"3d5"	"a 4P"	"5/2"	"3d4.(a 3P).4p"	"y 4D*"	"7/2"	6	8		""	"L18847"	
Mn	2	"231.9434"	"0.0006"	"231.94396"	"0.00022"	"1"	""		"3.804450"	"9.1482460"	"3d6"	"a 3P"	"1"	"3d5.(4D).4p"	"y 3F*"	"2"	3	5		""	"L562"	
Fe	2	"231.94561"	"0.00004"	"231.945628"	"0.000012"	"1800"	"4.1e+07"	C+	"8.1040544"	"13.4478119"	"3d6.(3H).4p"	"z 2H*"	"11/2"	"3d6.(3G).4d"	"4I"	"13/2"	12	14		"T6892c83"	"L18349c139"	
Cu	1	"231.9563"	"0.0004"	"231.9571"	"0.0009"	"6a"	""		"1.6422256"	"6.985719"	"3d9.4s2"	"2D"	"3/2"	"3d9.(2D).4s.4p.(1P*)"	"2P*"	"3/2"	4	4		""	"L4958"	
O	2	"231.9687"	""	"231.9682"	""	"11"	""		"26.358274"	"31.7015121"	"2s.2p4"	"2P"	"3/2"	"2s2.2p2.(3P).4f D"	"2[3]*"	"5/2"	4	6		""	"L10621"	
Fe	2	"231.96896"	"0.00003"	"231.968961"	"0.000011"	"3500"	"9.e+07"	D+	"7.5746170"	"12.9178370"	"3d6.(3P2).4p"	"z 2D*"	"5/2"	"3d6.(3H).4d"	"4F"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Ti	2	"231.970"	""	"231.970702"	"0.000016"	"1:"	""		"1.16095611"	"6.5041360"	"3d3"	"a 4P"	"1/2"	"3d.(2D).4s.4p.(3P*)"	"4D*"	"3/2"	2	4		""	"L5432"	
Ni	2	"231.975"	""	""	""	"500"	""		""	""	""	""	""	""	""	""				""	"L897"	
Fe	2	"231.9765"	"0.0005"	"231.975841"	"0.000011"	"400"	"1.7e+06"	D+	"7.6284514"	"12.9715130"	"3d6.(3H).4p"	"z 4I*"	"13/2"	"3d6.(3H).4d"	"2I"	"13/2"	14	14		"T6892c83"	"L18349c142"	
Fe	2	"231.98118"	"0.00005"	"231.981176"	"0.000012"	"2100"	"4.1e+07"	D+	"7.6042922"	"12.9472309"	"3d6.(3P2).4p"	"y 4P*"	"3/2"	"3d6.(5D).5d"	"6F"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"231.9916"	"0.0002"	"231.991761"	"0.000012"	"600"	"5.8e+06"	D+	"7.7269984"	"13.0696934"	"3d6.(3H).4p"	"z 2G*"	"7/2"	"3d6.(3F2).4d"	"4G"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Mn	2	"231.997"	"0.0015"	"231.99640"	"0.00016"	"3"	""		"4.9379075"	"10.280496"	"3d5.(4D).4s"	"b 3D"	"1"	"3d5.(a 2F).4p"	"w 3F*"	"2"	3	5		""	"L562"	
Ni	1	"232.003"	""	"232.00341"	""	"2600"	"6.9e+08"	C	"0.0000000"	"5.3424268"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(1P*)"	"3G*"	"5"	9	11		"T3861"	"L3475"	
Fe	2	"232.003458"	"0.000012"	"232.003477"	"0.000011"	"15000"	"1.42e+08"	C+	"7.6951447"	"13.0375699"	"3d6.(3F2).4p"	"y 4F*"	"7/2"	"3d6.(3F2).4d"	"4G"	"9/2"	8	10		"T6892c83"	"L18349c139"	
Cr	2	"232.007608"	"0.000007"	"232.007609"	"0.000007"	"130"	""		"2.54317169"	"7.88550172"	"3d5"	"a 4G"	"5/2"	"3d4.(3H).4p"	"z 4H*"	"7/2"	6	8		""	"L18847"	
Fe	2	"232.0110"	"0.0005"	"232.011053"	"0.000016"	"1500d?"	""		"2.34166141"	"7.6839121"	"3d7"	"a 2P"	"1/2"	"3d5.(6S).4s.4p.(3P*)"	"y 6P*"	"3/2"	2	4		""	"L18349c143"	
Na	2	"232.0130"	"0.0003"	"232.013"	"0.003"	"30bl*"	""		"41.262215"	"46.60442"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"	"2s2.2p5.(2P*<1/2>).8f"	"2[5/2]"	"2,3"	5	12		""	"L914"	
Na	2	"232.0130"	"0.0003"	"232.013"	"0.003"	"30bl*"	""		"41.262215"	"46.60442"	"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"	"2s2.2p5.(2P*<1/2>).8f"	"2[7/2]"	"3,4"	5	16		""	"L914"	
